X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU_31	OTU_60	-0.250583	-0.250583	-0.250583	2	2	21	0	0.914000	-0.192638	0.367143	-0.220677	0.311608	1	-0.166036	0.438110	0.210649	0.334654	-1	0.732659	0.630283	0.003559	0.475907	0.001293	28	75
OTU_31	OTU_80	0.234113	0.234113	0.234113	9	10	13	-1	0.970000	0.003775	0.986034	-0.036052	0.870275	1	0.185771	0.384791	0.209786	0.336682	-1	0.744017	0.685197	0.005418	0.451971	0.001298	28	76
OTU_31	OTU_69	-0.343077	-0.343077	-0.343077	2	2	22	0	0.631000	-0.354008	0.089667	-0.354008	0.089667	0	-0.345363	0.098348	-0.345363	0.098348	0	0.645189	0.524234	0.002130	0.249282	0.000678	28	77
OTU_31	OTU_141	0.242095	0.242095	0.242095	3	2	21	1	0.177000	0.208168	0.329006	0.373818	0.078894	-1	-0.115335	0.591504	0.376463	0.076632	1	0.388144	0.630283	0.001991	0.538663	0.000605	28	78
OTU_31	OTU_70	-0.265607	-0.265607	-0.265607	1	1	18	0	0.338000	0.411153	0.045937	0.411153	0.045937	0	-0.109039	0.612028	-0.239941	0.270134	-1	0.506107	0.375463	0.001438	0.545786	0.001142	28	79
OTU_31	OTU_68	-0.187182	-0.187182	-0.187182	2	2	20	0	0.443000	-0.271101	0.200062	-0.271101	0.200062	0	-0.291225	0.167375	-0.298422	0.166627	1	0.563393	0.630283	0.003107	0.317987	0.000889	28	80
OTU_31	OTU_65	0.320751	0.320751	0.320751	9	9	16	0	0.761000	0.450304	0.027237	0.450304	0.027237	0	0.204722	0.337255	-0.293947	0.173385	1	0.688830	0.268501	0.001006	0.427989	0.000906	28	81
OTU_31	OTU_72	0.281674	0.281674	0.281674	4	5	20	-1	0.013000	-0.264055	0.212465	0.530787	0.009165	-1	-0.201980	0.343905	0.534714	0.008570	-1	0.134176	0.630283	0.000466	0.430947	0.000228	28	82
OTU_31	OTU_5293	0.228517	0.228517	0.228517	2	1	23	1	0.295000	-0.174006	0.416118	0.387834	0.067461	1	-0.233667	0.271802	0.394891	0.062205	1	0.480696	0.630283	0.001818	0.389863	0.000556	28	83
OTU_31	OTU_62	-0.153420	-0.153420	-0.153420	2	1	22	1	0.907000	-0.214201	0.314862	-0.263416	0.224579	1	-0.094006	0.662172	-0.258069	0.234476	1	0.729596	0.630283	0.003229	0.561049	0.001063	28	84
OTU_31	OTU_149	0.313203	0.313203	0.313203	9	10	15	-1	0.598000	0.244899	0.248755	0.307409	0.153611	-1	0.344214	0.099547	0.344214	0.099547	0	0.633486	0.630283	0.002774	0.251547	0.000685	28	85
OTU_31	OTU_112	0.181658	0.181658	0.181658	2	2	23	0	0.349000	0.169150	0.429444	0.169150	0.429444	0	0.433737	0.034216	0.433737	0.034216	0	0.511768	0.630283	0.003802	0.154689	0.000416	28	86
OTU_31	OTU_85	-0.184354	-0.184354	-0.184354	14	13	10	1	0.419000	0.033891	0.875076	-0.186610	0.393898	-1	0.216693	0.309128	-0.324256	0.131176	1	0.549995	0.656709	0.003739	0.411518	0.000782	28	87
OTU_31	OTU_134	-0.285607	-0.285607	-0.285607	1	1	22	0	0.051000	-0.310156	0.140215	-0.310156	0.140215	0	-0.489015	0.015308	-0.489015	0.015308	0	0.237967	0.630283	0.002676	0.106211	0.000301	28	88
OTU_31	OTU_93	-0.234712	-0.234712	-0.234712	2	2	20	0	0.211000	-0.324805	0.121477	-0.324805	0.121477	0	-0.372550	0.072996	-0.409406	0.052386	1	0.417839	0.608759	0.002505	0.221323	0.000513	28	89
OTU_31	OTU_78	-0.196824	-0.196824	-0.196824	4	3	20	1	0.235000	-0.040091	0.852449	0.346705	0.105073	-1	0.294176	0.162917	-0.413947	0.049574	1	0.436998	0.653201	0.002321	0.314022	0.000499	28	90
OTU_31	OTU_106	0.241770	0.241770	0.241770	10	11	12	-1	0.975000	-0.063033	0.769825	0.319416	0.137365	-1	0.138453	0.518806	0.138453	0.518806	0	0.744590	0.635635	0.002647	0.513065	0.001744	28	91
OTU_31	OTU_190	0.377196	0.377196	0.377196	10	11	14	-1	0.300000	0.315009	0.133792	0.315009	0.133792	0	0.217052	0.308308	0.302596	0.160489	-1	0.482644	0.630283	0.002614	0.411077	0.000872	28	92
OTU_31	OTU_1542	-0.221483	-0.221483	-0.221483	2	1	16	1	0.175000	0.226139	0.287986	0.226139	0.287986	0	-0.047097	0.827017	-0.475884	0.021716	1	0.387460	0.630283	0.003494	0.609060	0.000342	28	93
OTU_31	OTU_71	0.364111	0.364111	0.364111	9	9	12	0	0.560000	0.023062	0.914820	0.332421	0.121193	-1	0.228242	0.283405	-0.261286	0.228488	1	0.617949	0.668093	0.002501	0.396676	0.001050	28	94
